emoji,short_name,codepoints,keywords,category,subcategory,sort_order
😀,grinning_face,1F600,grinning face,Smileys & Emotion,face-smiling,1
😃,grinning_face_with_big_eyes,1F603,grinning face with big eyes,Smileys & Emotion,face-smiling,2
😄,grinning_face_with_smiling_eyes,1F604,grinning face with smiling eyes,Smileys & Emotion,face-smiling,3
😁,beaming_face_with_smiling_eyes,1F601,beaming face with smiling eyes,Smileys & Emotion,face-smiling,4
😆,grinning_squinting_face,1F606,grinning squinting face,Smileys & Emotion,face-smiling,5
😅,grinning_face_with_sweat,1F605,grinning face with sweat,Smileys & Emotion,face-smiling,6
🤣,rolling_on_the_floor_laughing,1F923,rolling on the floor laughing,Smileys & Emotion,face-smiling,7
😂,face_with_tears_of_joy,1F602,face with tears of joy,Smileys & Emotion,face-smiling,8
🙂,slightly_smiling_face,1F642,slightly smiling face,Smileys & Emotion,face-smiling,9
🙃,upside_down_face,1F643,upside down face,Smileys & Emotion,face-smiling,10
🫠,melting_face,1FAE0,melting face,Smileys & Emotion,face-smiling,11
😉,winking_face,1F609,winking face,Smileys & Emotion,face-smiling,12
😊,smiling_face_with_smiling_eyes,1F60A,smiling face with eyes,Smileys & Emotion,face-smiling,13
😇,smiling_face_with_halo,1F607,smiling face with halo,Smileys & Emotion,face-smiling,14
🥰,smiling_face_with_hearts,1F970,smiling face with hearts,Smileys & Emotion,face-affection,15
😍,smiling_face_with_heart_eyes,1F60D,smiling face with heart eyes,Smileys & Emotion,face-affection,16
🤩,star_struck,1F929,star struck,Smileys & Emotion,face-affection,17
😘,face_blowing_a_kiss,1F618,face blowing a kiss,Smileys & Emotion,face-affection,18
😗,kissing_face,1F617,kissing face,Smileys & Emotion,face-affection,19
☺️,smiling_face,263A FE0F,smiling face,Smileys & Emotion,face-affection,20
😚,kissing_face_with_closed_eyes,1F61A,kissing face with closed eyes,Smileys & Emotion,face-affection,21
😙,kissing_face_with_smiling_eyes,1F619,kissing face with smiling eyes,Smileys & Emotion,face-affection,22
🥲,smiling_face_with_tear,1F972,smiling face with tear,Smileys & Emotion,face-affection,23
😋,face_savoring_food,1F60B,face savoring food,Smileys & Emotion,face-tongue,24
😛,face_with_tongue,1F61B,face with tongue,Smileys & Emotion,face-tongue,25
😜,winking_face_with_tongue,1F61C,winking face with tongue,Smileys & Emotion,face-tongue,26
🤪,zany_face,1F92A,zany face,Smileys & Emotion,face-tongue,27
😝,squinting_face_with_tongue,1F61D,squinting face with tongue,Smileys & Emotion,face-tongue,28
🤑,money_mouth_face,1F911,money mouth face,Smileys & Emotion,face-tongue,29
🤗,smiling_face_with_open_hands,1F917,smiling face with open hands,Smileys & Emotion,face-hand,30
🤭,face_with_hand_over_mouth,1F92D,face with hand over mouth,Smileys & Emotion,face-hand,31
🫢,face_with_open_eyes_and_hand_over_mouth,1FAE2,face with open eyes and hand over mouth,Smileys & Emotion,face-hand,32
🫣,face_with_peeking_eye,1FAE3,face with peeking eye,Smileys & Emotion,face-hand,33
🤫,shushing_face,1F92B,shushing face,Smileys & Emotion,face-hand,34
🤔,thinking_face,1F914,thinking face,Smileys & Emotion,face-hand,35
🫡,saluting_face,1FAE1,saluting face,Smileys & Emotion,face-hand,36
🤐,zipper_mouth_face,1F910,zipper mouth face,Smileys & Emotion,face-neutral-skeptical,37
🤨,face_with_raised_eyebrow,1F928,face with raised eyebrow,Smileys & Emotion,face-neutral-skeptical,38
😐️,neutral_face,1F610 FE0F,neutral face,Smileys & Emotion,face-neutral-skeptical,39
😑,expressionless_face,1F611,expressionless face,Smileys & Emotion,face-neutral-skeptical,40
😶,face_without_mouth,1F636,face without mouth,Smileys & Emotion,face-neutral-skeptical,41
🫥,dotted_line_face,1FAE5,dotted line face,Smileys & Emotion,face-neutral-skeptical,42
😶‍🌫️,face_in_clouds,1F636 200D 1F32B FE0F,face in clouds,Smileys & Emotion,face-neutral-skeptical,43
😏,smirking_face,1F60F,smirking face,Smileys & Emotion,face-neutral-skeptical,44
😒,unamused_face,1F612,unamused face,Smileys & Emotion,face-neutral-skeptical,45
🙄,face_with_rolling_eyes,1F644,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,46
😬,grimacing_face,1F62C,grimacing face,Smileys & Emotion,face-neutral-skeptical,47
😮‍💨,face_exhaling,1F62E 200D 1F4A8,face exhaling,Smileys & Emotion,face-neutral-skeptical,48
🤥,lying_face,1F925,lying face,Smileys & Emotion,face-neutral-skeptical,49
🫨,shaking_face,1FAE8,shaking face,Smileys & Emotion,face-neutral-skeptical,50
🙂‍↔️,head_shaking_horizontally,1F642 200D 2194 FE0F,head shaking horizontally,Smileys & Emotion,face-neutral-skeptical,51
🙂‍↕️,head_shaking_vertically,1F642 200D 2195 FE0F,head shaking vertically,Smileys & Emotion,face-neutral-skeptical,52
😌,relieved_face,1F60C,relieved face,Smileys & Emotion,face-sleepy,53
😔,pensive_face,1F614,pensive face,Smileys & Emotion,face-sleepy,54
😪,sleepy_face,1F62A,sleepy face,Smileys & Emotion,face-sleepy,55
🤤,drooling_face,1F924,drooling face,Smileys & Emotion,face-sleepy,56
😴,sleeping_face,1F634,sleeping face,Smileys & Emotion,face-sleepy,57
🫩,face_with_bags_under_eyes,1FAE9,face with bags under eyes,Smileys & Emotion,face-sleepy,58
😷,face_with_medical_mask,1F637,face with medical mask,Smileys & Emotion,face-unwell,59
🤒,face_with_thermometer,1F912,face with thermometer,Smileys & Emotion,face-unwell,60
🤕,face_with_head_bandage,1F915,face with head bandage,Smileys & Emotion,face-unwell,61
🤢,nauseated_face,1F922,nauseated face,Smileys & Emotion,face-unwell,62
🤮,face_vomiting,1F92E,face vomiting,Smileys & Emotion,face-unwell,63
🤧,sneezing_face,1F927,sneezing face,Smileys & Emotion,face-unwell,64
🥵,hot_face,1F975,hot face,Smileys & Emotion,face-unwell,65
🥶,cold_face,1F976,cold face,Smileys & Emotion,face-unwell,66
🥴,woozy_face,1F974,woozy face,Smileys & Emotion,face-unwell,67
😵,face_with_crossed_out_eyes,1F635,face with crossed out eyes,Smileys & Emotion,face-unwell,68
😵‍💫,face_with_spiral_eyes,1F635 200D 1F4AB,face with spiral eyes,Smileys & Emotion,face-unwell,69
🤯,exploding_head,1F92F,exploding head,Smileys & Emotion,face-unwell,70
🤠,cowboy_hat_face,1F920,cowboy hat face,Smileys & Emotion,face-hat,71
🥳,partying_face,1F973,partying face,Smileys & Emotion,face-hat,72
🥸,disguised_face,1F978,disguised face,Smileys & Emotion,face-hat,73
😎,smiling_face_with_sunglasses,1F60E,smiling face with sunglasses,Smileys & Emotion,face-glasses,74
🤓,nerd_face,1F913,nerd face,Smileys & Emotion,face-glasses,75
🧐,face_with_monocle,1F9D0,face with monocle,Smileys & Emotion,face-glasses,76
😕,confused_face,1F615,confused face,Smileys & Emotion,face-concerned,77
🫤,face_with_diagonal_mouth,1FAE4,face with diagonal mouth,Smileys & Emotion,face-concerned,78
😟,worried_face,1F61F,worried face,Smileys & Emotion,face-concerned,79
🙁,slightly_frowning_face,1F641,slightly frowning face,Smileys & Emotion,face-concerned,80
☹️,frowning_face,2639 FE0F,frowning face,Smileys & Emotion,face-concerned,81
😮,face_with_open_mouth,1F62E,face with open mouth,Smileys & Emotion,face-concerned,82
😯,hushed_face,1F62F,hushed face,Smileys & Emotion,face-concerned,83
😲,astonished_face,1F632,astonished face,Smileys & Emotion,face-concerned,84
😳,flushed_face,1F633,flushed face,Smileys & Emotion,face-concerned,85
🫪,distorted_face,1FAEA,distorted face,Smileys & Emotion,face-concerned,86
🥺,pleading_face,1F97A,pleading face,Smileys & Emotion,face-concerned,87
🥹,face_holding_back_tears,1F979,face holding back tears,Smileys & Emotion,face-concerned,88
😦,frowning_face_with_open_mouth,1F626,frowning face with open mouth,Smileys & Emotion,face-concerned,89
😧,anguished_face,1F627,anguished face,Smileys & Emotion,face-concerned,90
😨,fearful_face,1F628,fearful face,Smileys & Emotion,face-concerned,91
😰,anxious_face_with_sweat,1F630,anxious face with sweat,Smileys & Emotion,face-concerned,92
😥,sad_but_relieved_face,1F625,sad but relieved face,Smileys & Emotion,face-concerned,93
😢,crying_face,1F622,crying face,Smileys & Emotion,face-concerned,94
😭,loudly_crying_face,1F62D,loudly crying face,Smileys & Emotion,face-concerned,95
😱,face_screaming_in_fear,1F631,face screaming in fear,Smileys & Emotion,face-concerned,96
😖,confounded_face,1F616,confounded face,Smileys & Emotion,face-concerned,97
😣,persevering_face,1F623,persevering face,Smileys & Emotion,face-concerned,98
😞,disappointed_face,1F61E,disappointed face,Smileys & Emotion,face-concerned,99
😓,downcast_face_with_sweat,1F613,downcast face with sweat,Smileys & Emotion,face-concerned,100
😩,weary_face,1F629,weary face,Smileys & Emotion,face-concerned,101
😫,tired_face,1F62B,tired face,Smileys & Emotion,face-concerned,102
🥱,yawning_face,1F971,yawning face,Smileys & Emotion,face-concerned,103
😤,face_with_steam_from_nose,1F624,face with steam from nose,Smileys & Emotion,face-negative,104
😡,enraged_face,1F621,enraged face,Smileys & Emotion,face-negative,105
😠,angry_face,1F620,angry face,Smileys & Emotion,face-negative,106
🤬,face_with_symbols_on_mouth,1F92C,face with symbols on mouth,Smileys & Emotion,face-negative,107
😈,smiling_face_with_horns,1F608,smiling face with horns,Smileys & Emotion,face-negative,108
👿,angry_face_with_horns,1F47F,angry face with horns,Smileys & Emotion,face-negative,109
💀,skull,1F480,skull,Smileys & Emotion,face-negative,110
☠️,skull_and_crossbones,2620 FE0F,skull and crossbones,Smileys & Emotion,face-negative,111
💩,pile_of_poo,1F4A9,pile of poo,Smileys & Emotion,face-costume,112
🤡,clown_face,1F921,clown face,Smileys & Emotion,face-costume,113
👹,ogre,1F479,ogre,Smileys & Emotion,face-costume,114
👺,goblin,1F47A,goblin,Smileys & Emotion,face-costume,115
👻,ghost,1F47B,ghost,Smileys & Emotion,face-costume,116
👽️,alien,1F47D FE0F,alien,Smileys & Emotion,face-costume,117
👾,alien_monster,1F47E,alien monster,Smileys & Emotion,face-costume,118
🤖,robot,1F916,robot,Smileys & Emotion,face-costume,119
😺,grinning_cat,1F63A,grinning cat,Smileys & Emotion,cat-face,120
😸,grinning_cat_with_smiling_eyes,1F638,grinning cat with smiling eyes,Smileys & Emotion,cat-face,121
😹,cat_with_tears_of_joy,1F639,cat with tears of joy,Smileys & Emotion,cat-face,122
😻,smiling_cat_with_heart_eyes,1F63B,smiling cat with heart eyes,Smileys & Emotion,cat-face,123
😼,cat_with_wry_smile,1F63C,cat with wry smile,Smileys & Emotion,cat-face,124
😽,kissing_cat,1F63D,kissing cat,Smileys & Emotion,cat-face,125
🙀,weary_cat,1F640,weary cat,Smileys & Emotion,cat-face,126
😿,crying_cat,1F63F,crying cat,Smileys & Emotion,cat-face,127
😾,pouting_cat,1F63E,pouting cat,Smileys & Emotion,cat-face,128
🙈,see_no_evil_monkey,1F648,see no evil monkey,Smileys & Emotion,monkey-face,129
🙉,hear_no_evil_monkey,1F649,hear no evil monkey,Smileys & Emotion,monkey-face,130
🙊,speak_no_evil_monkey,1F64A,speak no evil monkey,Smileys & Emotion,monkey-face,131
💌,love_letter,1F48C,love letter,Smileys & Emotion,heart,132
💘,heart_with_arrow,1F498,heart with arrow,Smileys & Emotion,heart,133
💝,heart_with_ribbon,1F49D,heart with ribbon,Smileys & Emotion,heart,134
💖,sparkling_heart,1F496,sparkling heart,Smileys & Emotion,heart,135
💗,growing_heart,1F497,growing heart,Smileys & Emotion,heart,136
💓,beating_heart,1F493,beating heart,Smileys & Emotion,heart,137
💞,revolving_hearts,1F49E,revolving hearts,Smileys & Emotion,heart,138
💕,two_hearts,1F495,two hearts,Smileys & Emotion,heart,139
💟,heart_decoration,1F49F,heart decoration,Smileys & Emotion,heart,140
❣️,heart_exclamation,2763 FE0F,heart exclamation,Smileys & Emotion,heart,141
💔,broken_heart,1F494,broken heart,Smileys & Emotion,heart,142
❤️‍🔥,heart_on_fire,2764 FE0F 200D 1F525,heart on fire,Smileys & Emotion,heart,143
❤️‍🩹,mending_heart,2764 FE0F 200D 1FA79,mending heart,Smileys & Emotion,heart,144
❤️,red_heart,2764 FE0F,red heart,Smileys & Emotion,heart,145
🩷,pink_heart,1FA77,pink heart,Smileys & Emotion,heart,146
🧡,orange_heart,1F9E1,orange heart,Smileys & Emotion,heart,147
💛,yellow_heart,1F49B,yellow heart,Smileys & Emotion,heart,148
💚,green_heart,1F49A,green heart,Smileys & Emotion,heart,149
💙,blue_heart,1F499,blue heart,Smileys & Emotion,heart,150
🩵,light_blue_heart,1FA75,light blue heart,Smileys & Emotion,heart,151
💜,purple_heart,1F49C,purple heart,Smileys & Emotion,heart,152
🤎,brown_heart,1F90E,brown heart,Smileys & Emotion,heart,153
🖤,black_heart,1F5A4,black heart,Smileys & Emotion,heart,154
🩶,grey_heart,1FA76,grey heart,Smileys & Emotion,heart,155
🤍,white_heart,1F90D,white heart,Smileys & Emotion,heart,156
💋,kiss_mark,1F48B,kiss mark,Smileys & Emotion,emotion,157
💯,hundred_points,1F4AF,hundred points,Smileys & Emotion,emotion,158
💢,anger_symbol,1F4A2,anger symbol,Smileys & Emotion,emotion,159
🫯,fight_cloud,1FAEF,fight cloud,Smileys & Emotion,emotion,160
💥,collision,1F4A5,collision,Smileys & Emotion,emotion,161
💫,dizzy,1F4AB,dizzy,Smileys & Emotion,emotion,162
💦,sweat_droplets,1F4A6,sweat droplets,Smileys & Emotion,emotion,163
💨,dashing_away,1F4A8,dashing away,Smileys & Emotion,emotion,164
🕳️,hole,1F573 FE0F,hole,Smileys & Emotion,emotion,165
💬,speech_balloon,1F4AC,speech balloon,Smileys & Emotion,emotion,166
👁️‍🗨️,eye_in_speech_bubble,1F441 FE0F 200D 1F5E8 FE0F,eye in speech bubble,Smileys & Emotion,emotion,167
🗨️,left_speech_bubble,1F5E8 FE0F,left speech bubble,Smileys & Emotion,emotion,168
🗯️,right_anger_bubble,1F5EF FE0F,right anger bubble,Smileys & Emotion,emotion,169
💭,thought_balloon,1F4AD,thought balloon,Smileys & Emotion,emotion,170
💤,zzz,1F4A4,zzz,Smileys & Emotion,emotion,171
👋,waving_hand,1F44B,waving hand,People & Body,hand-fingers-open,172
👋🏻,waving_hand_light_skin_tone,1F44B 1F3FB,waving hand light skin tone,People & Body,hand-fingers-open,173
👋🏼,waving_hand_medium_light_skin_tone,1F44B 1F3FC,waving hand medium light skin tone,People & Body,hand-fingers-open,174
👋🏽,waving_hand_medium_skin_tone,1F44B 1F3FD,waving hand medium skin tone,People & Body,hand-fingers-open,175
👋🏾,waving_hand_medium_dark_skin_tone,1F44B 1F3FE,waving hand medium dark skin tone,People & Body,hand-fingers-open,176
👋🏿,waving_hand_dark_skin_tone,1F44B 1F3FF,waving hand dark skin tone,People & Body,hand-fingers-open,177
🤚,raised_back_of_hand,1F91A,raised back of hand,People & Body,hand-fingers-open,178
🤚🏻,raised_back_of_hand_light_skin_tone,1F91A 1F3FB,raised back of hand light skin tone,People & Body,hand-fingers-open,179
🤚🏼,raised_back_of_hand_medium_light_skin_tone,1F91A 1F3FC,raised back of hand medium light skin tone,People & Body,hand-fingers-open,180
🤚🏽,raised_back_of_hand_medium_skin_tone,1F91A 1F3FD,raised back of hand medium skin tone,People & Body,hand-fingers-open,181
🤚🏾,raised_back_of_hand_medium_dark_skin_tone,1F91A 1F3FE,raised back of hand medium dark skin tone,People & Body,hand-fingers-open,182
🤚🏿,raised_back_of_hand_dark_skin_tone,1F91A 1F3FF,raised back of hand dark skin tone,People & Body,hand-fingers-open,183
🖐️,hand_with_fingers_splayed,1F590 FE0F,hand with fingers splayed,People & Body,hand-fingers-open,184
🖐🏻,hand_with_fingers_splayed_light_skin_tone,1F590 1F3FB,hand with fingers splayed light skin tone,People & Body,hand-fingers-open,185
🖐🏼,hand_with_fingers_splayed_medium_light_skin_tone,1F590 1F3FC,hand with fingers splayed medium light skin tone,People & Body,hand-fingers-open,186
🖐🏽,hand_with_fingers_splayed_medium_skin_tone,1F590 1F3FD,hand with fingers splayed medium skin tone,People & Body,hand-fingers-open,187
🖐🏾,hand_with_fingers_splayed_medium_dark_skin_tone,1F590 1F3FE,hand with fingers splayed medium dark skin tone,People & Body,hand-fingers-open,188
🖐🏿,hand_with_fingers_splayed_dark_skin_tone,1F590 1F3FF,hand with fingers splayed dark skin tone,People & Body,hand-fingers-open,189
✋️,raised_hand,270B FE0F,raised hand,People & Body,hand-fingers-open,190
✋🏻,raised_hand_light_skin_tone,270B 1F3FB,raised hand light skin tone,People & Body,hand-fingers-open,191
✋🏼,raised_hand_medium_light_skin_tone,270B 1F3FC,raised hand medium light skin tone,People & Body,hand-fingers-open,192
✋🏽,raised_hand_medium_skin_tone,270B 1F3FD,raised hand medium skin tone,People & Body,hand-fingers-open,193
✋🏾,raised_hand_medium_dark_skin_tone,270B 1F3FE,raised hand medium dark skin tone,People & Body,hand-fingers-open,194
✋🏿,raised_hand_dark_skin_tone,270B 1F3FF,raised hand dark skin tone,People & Body,hand-fingers-open,195
🖖,vulcan_salute,1F596,vulcan salute,People & Body,hand-fingers-open,196
🖖🏻,vulcan_salute_light_skin_tone,1F596 1F3FB,vulcan salute light skin tone,People & Body,hand-fingers-open,197
🖖🏼,vulcan_salute_medium_light_skin_tone,1F596 1F3FC,vulcan salute medium light skin tone,People & Body,hand-fingers-open,198
🖖🏽,vulcan_salute_medium_skin_tone,1F596 1F3FD,vulcan salute medium skin tone,People & Body,hand-fingers-open,199
🖖🏾,vulcan_salute_medium_dark_skin_tone,1F596 1F3FE,vulcan salute medium dark skin tone,People & Body,hand-fingers-open,200
🖖🏿,vulcan_salute_dark_skin_tone,1F596 1F3FF,vulcan salute dark skin tone,People & Body,hand-fingers-open,201
🫱,rightwards_hand,1FAF1,rightwards hand,People & Body,hand-fingers-open,202
🫱🏻,rightwards_hand_light_skin_tone,1FAF1 1F3FB,rightwards hand light skin tone,People & Body,hand-fingers-open,203
🫱🏼,rightwards_hand_medium_light_skin_tone,1FAF1 1F3FC,rightwards hand medium light skin tone,People & Body,hand-fingers-open,204
🫱🏽,rightwards_hand_medium_skin_tone,1FAF1 1F3FD,rightwards hand medium skin tone,People & Body,hand-fingers-open,205
🫱🏾,rightwards_hand_medium_dark_skin_tone,1FAF1 1F3FE,rightwards hand medium dark skin tone,People & Body,hand-fingers-open,206
🫱🏿,rightwards_hand_dark_skin_tone,1FAF1 1F3FF,rightwards hand dark skin tone,People & Body,hand-fingers-open,207
🫲,leftwards_hand,1FAF2,leftwards hand,People & Body,hand-fingers-open,208
🫲🏻,leftwards_hand_light_skin_tone,1FAF2 1F3FB,leftwards hand light skin tone,People & Body,hand-fingers-open,209
🫲🏼,leftwards_hand_medium_light_skin_tone,1FAF2 1F3FC,leftwards hand medium light skin tone,People & Body,hand-fingers-open,210
🫲🏽,leftwards_hand_medium_skin_tone,1FAF2 1F3FD,leftwards hand medium skin tone,People & Body,hand-fingers-open,211
🫲🏾,leftwards_hand_medium_dark_skin_tone,1FAF2 1F3FE,leftwards hand medium dark skin tone,People & Body,hand-fingers-open,212
🫲🏿,leftwards_hand_dark_skin_tone,1FAF2 1F3FF,leftwards hand dark skin tone,People & Body,hand-fingers-open,213
🫳,palm_down_hand,1FAF3,palm down hand,People & Body,hand-fingers-open,214
🫳🏻,palm_down_hand_light_skin_tone,1FAF3 1F3FB,palm down hand light skin tone,People & Body,hand-fingers-open,215
🫳🏼,palm_down_hand_medium_light_skin_tone,1FAF3 1F3FC,palm down hand medium light skin tone,People & Body,hand-fingers-open,216
🫳🏽,palm_down_hand_medium_skin_tone,1FAF3 1F3FD,palm down hand medium skin tone,People & Body,hand-fingers-open,217
🫳🏾,palm_down_hand_medium_dark_skin_tone,1FAF3 1F3FE,palm down hand medium dark skin tone,People & Body,hand-fingers-open,218
🫳🏿,palm_down_hand_dark_skin_tone,1FAF3 1F3FF,palm down hand dark skin tone,People & Body,hand-fingers-open,219
🫴,palm_up_hand,1FAF4,palm up hand,People & Body,hand-fingers-open,220
🫴🏻,palm_up_hand_light_skin_tone,1FAF4 1F3FB,palm up hand light skin tone,People & Body,hand-fingers-open,221
🫴🏼,palm_up_hand_medium_light_skin_tone,1FAF4 1F3FC,palm up hand medium light skin tone,People & Body,hand-fingers-open,222
🫴🏽,palm_up_hand_medium_skin_tone,1FAF4 1F3FD,palm up hand medium skin tone,People & Body,hand-fingers-open,223
🫴🏾,palm_up_hand_medium_dark_skin_tone,1FAF4 1F3FE,palm up hand medium dark skin tone,People & Body,hand-fingers-open,224
🫴🏿,palm_up_hand_dark_skin_tone,1FAF4 1F3FF,palm up hand dark skin tone,People & Body,hand-fingers-open,225
🫷,leftwards_pushing_hand,1FAF7,leftwards pushing hand,People & Body,hand-fingers-open,226
🫷🏻,leftwards_pushing_hand_light_skin_tone,1FAF7 1F3FB,leftwards pushing hand light skin tone,People & Body,hand-fingers-open,227
🫷🏼,leftwards_pushing_hand_medium_light_skin_tone,1FAF7 1F3FC,leftwards pushing hand medium light skin tone,People & Body,hand-fingers-open,228
🫷🏽,leftwards_pushing_hand_medium_skin_tone,1FAF7 1F3FD,leftwards pushing hand medium skin tone,People & Body,hand-fingers-open,229
🫷🏾,leftwards_pushing_hand_medium_dark_skin_tone,1FAF7 1F3FE,leftwards pushing hand medium dark skin tone,People & Body,hand-fingers-open,230
🫷🏿,leftwards_pushing_hand_dark_skin_tone,1FAF7 1F3FF,leftwards pushing hand dark skin tone,People & Body,hand-fingers-open,231
🫸,rightwards_pushing_hand,1FAF8,rightwards pushing hand,People & Body,hand-fingers-open,232
🫸🏻,rightwards_pushing_hand_light_skin_tone,1FAF8 1F3FB,rightwards pushing hand light skin tone,People & Body,hand-fingers-open,233
🫸🏼,rightwards_pushing_hand_medium_light_skin_tone,1FAF8 1F3FC,rightwards pushing hand medium light skin tone,People & Body,hand-fingers-open,234
🫸🏽,rightwards_pushing_hand_medium_skin_tone,1FAF8 1F3FD,rightwards pushing hand medium skin tone,People & Body,hand-fingers-open,235
🫸🏾,rightwards_pushing_hand_medium_dark_skin_tone,1FAF8 1F3FE,rightwards pushing hand medium dark skin tone,People & Body,hand-fingers-open,236
🫸🏿,rightwards_pushing_hand_dark_skin_tone,1FAF8 1F3FF,rightwards pushing hand dark skin tone,People & Body,hand-fingers-open,237
👌,ok_hand,1F44C,ok hand,People & Body,hand-fingers-partial,238
👌🏻,ok_hand_light_skin_tone,1F44C 1F3FB,ok hand light skin tone,People & Body,hand-fingers-partial,239
👌🏼,ok_hand_medium_light_skin_tone,1F44C 1F3FC,ok hand medium light skin tone,People & Body,hand-fingers-partial,240
👌🏽,ok_hand_medium_skin_tone,1F44C 1F3FD,ok hand medium skin tone,People & Body,hand-fingers-partial,241
👌🏾,ok_hand_medium_dark_skin_tone,1F44C 1F3FE,ok hand medium dark skin tone,People & Body,hand-fingers-partial,242
👌🏿,ok_hand_dark_skin_tone,1F44C 1F3FF,ok hand dark skin tone,People & Body,hand-fingers-partial,243
🤌,pinched_fingers,1F90C,pinched fingers,People & Body,hand-fingers-partial,244
🤌🏻,pinched_fingers_light_skin_tone,1F90C 1F3FB,pinched fingers light skin tone,People & Body,hand-fingers-partial,245
🤌🏼,pinched_fingers_medium_light_skin_tone,1F90C 1F3FC,pinched fingers medium light skin tone,People & Body,hand-fingers-partial,246
🤌🏽,pinched_fingers_medium_skin_tone,1F90C 1F3FD,pinched fingers medium skin tone,People & Body,hand-fingers-partial,247
🤌🏾,pinched_fingers_medium_dark_skin_tone,1F90C 1F3FE,pinched fingers medium dark skin tone,People & Body,hand-fingers-partial,248
🤌🏿,pinched_fingers_dark_skin_tone,1F90C 1F3FF,pinched fingers dark skin tone,People & Body,hand-fingers-partial,249
🤏,pinching_hand,1F90F,pinching hand,People & Body,hand-fingers-partial,250
🤏🏻,pinching_hand_light_skin_tone,1F90F 1F3FB,pinching hand light skin tone,People & Body,hand-fingers-partial,251
🤏🏼,pinching_hand_medium_light_skin_tone,1F90F 1F3FC,pinching hand medium light skin tone,People & Body,hand-fingers-partial,252
🤏🏽,pinching_hand_medium_skin_tone,1F90F 1F3FD,pinching hand medium skin tone,People & Body,hand-fingers-partial,253
🤏🏾,pinching_hand_medium_dark_skin_tone,1F90F 1F3FE,pinching hand medium dark skin tone,People & Body,hand-fingers-partial,254
🤏🏿,pinching_hand_dark_skin_tone,1F90F 1F3FF,pinching hand dark skin tone,People & Body,hand-fingers-partial,255
✌️,victory_hand,270C FE0F,victory hand,People & Body,hand-fingers-partial,256
✌🏻,victory_hand_light_skin_tone,270C 1F3FB,victory hand light skin tone,People & Body,hand-fingers-partial,257
✌🏼,victory_hand_medium_light_skin_tone,270C 1F3FC,victory hand medium light skin tone,People & Body,hand-fingers-partial,258
✌🏽,victory_hand_medium_skin_tone,270C 1F3FD,victory hand medium skin tone,People & Body,hand-fingers-partial,259
✌🏾,victory_hand_medium_dark_skin_tone,270C 1F3FE,victory hand medium dark skin tone,People & Body,hand-fingers-partial,260
✌🏿,victory_hand_dark_skin_tone,270C 1F3FF,victory hand dark skin tone,People & Body,hand-fingers-partial,261
🤞,crossed_fingers,1F91E,crossed fingers,People & Body,hand-fingers-partial,262
🤞🏻,crossed_fingers_light_skin_tone,1F91E 1F3FB,crossed fingers light skin tone,People & Body,hand-fingers-partial,263
🤞🏼,crossed_fingers_medium_light_skin_tone,1F91E 1F3FC,crossed fingers medium light skin tone,People & Body,hand-fingers-partial,264
🤞🏽,crossed_fingers_medium_skin_tone,1F91E 1F3FD,crossed fingers medium skin tone,People & Body,hand-fingers-partial,265
🤞🏾,crossed_fingers_medium_dark_skin_tone,1F91E 1F3FE,crossed fingers medium dark skin tone,People & Body,hand-fingers-partial,266
🤞🏿,crossed_fingers_dark_skin_tone,1F91E 1F3FF,crossed fingers dark skin tone,People & Body,hand-fingers-partial,267
🫰,hand_with_index_finger_and_thumb_crossed,1FAF0,hand with index finger and thumb crossed,People & Body,hand-fingers-partial,268
🫰🏻,hand_with_index_finger_and_thumb_crossed_light_skin_tone,1FAF0 1F3FB,hand with index finger and thumb crossed light skin tone,People & Body,hand-fingers-partial,269
🫰🏼,hand_with_index_finger_and_thumb_crossed_medium_light_skin_tone,1FAF0 1F3FC,hand with index finger and thumb crossed medium light skin tone,People & Body,hand-fingers-partial,270
🫰🏽,hand_with_index_finger_and_thumb_crossed_medium_skin_tone,1FAF0 1F3FD,hand with index finger and thumb crossed medium skin tone,People & Body,hand-fingers-partial,271
🫰🏾,hand_with_index_finger_and_thumb_crossed_medium_dark_skin_tone,1FAF0 1F3FE,hand with index finger and thumb crossed medium dark skin tone,People & Body,hand-fingers-partial,272
🫰🏿,hand_with_index_finger_and_thumb_crossed_dark_skin_tone,1FAF0 1F3FF,hand with index finger and thumb crossed dark skin tone,People & Body,hand-fingers-partial,273
🤟,love_you_gesture,1F91F,love you gesture,People & Body,hand-fingers-partial,274
🤟🏻,love_you_gesture_light_skin_tone,1F91F 1F3FB,love you gesture light skin tone,People & Body,hand-fingers-partial,275
🤟🏼,love_you_gesture_medium_light_skin_tone,1F91F 1F3FC,love you gesture medium light skin tone,People & Body,hand-fingers-partial,276
🤟🏽,love_you_gesture_medium_skin_tone,1F91F 1F3FD,love you gesture medium skin tone,People & Body,hand-fingers-partial,277
🤟🏾,love_you_gesture_medium_dark_skin_tone,1F91F 1F3FE,love you gesture medium dark skin tone,People & Body,hand-fingers-partial,278
🤟🏿,love_you_gesture_dark_skin_tone,1F91F 1F3FF,love you gesture dark skin tone,People & Body,hand-fingers-partial,279
🤘,sign_of_the_horns,1F918,sign of the horns,People & Body,hand-fingers-partial,280
🤘🏻,sign_of_the_horns_light_skin_tone,1F918 1F3FB,sign of the horns light skin tone,People & Body,hand-fingers-partial,281
