emoji,short_name,codepoints,keywords,category,subcategory,sort_order
👨🏼‍🫯‍👨🏾,men_wrestling_medium_light_skin_tone_medium_dark_skin_tone,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FE,men wrestling medium light skin tone dark,People & Body,person-sport,2124
👨🏼‍🫯‍👨🏿,men_wrestling_medium_light_skin_tone_dark_skin_tone,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FF,men wrestling medium light skin tone dark,People & Body,person-sport,2125
👨🏽‍🫯‍👨🏻,men_wrestling_medium_skin_tone_light_skin_tone,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FB,men wrestling medium skin tone light,People & Body,person-sport,2126
👨🏽‍🫯‍👨🏼,men_wrestling_medium_skin_tone_medium_light_skin_tone,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FC,men wrestling medium skin tone light,People & Body,person-sport,2127
👨🏽‍🫯‍👨🏾,men_wrestling_medium_skin_tone_medium_dark_skin_tone,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FE,men wrestling medium skin tone dark,People & Body,person-sport,2128
👨🏽‍🫯‍👨🏿,men_wrestling_medium_skin_tone_dark_skin_tone,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FF,men wrestling medium skin tone dark,People & Body,person-sport,2129
👨🏾‍🫯‍👨🏻,men_wrestling_medium_dark_skin_tone_light_skin_tone,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FB,men wrestling medium dark skin tone light,People & Body,person-sport,2130
👨🏾‍🫯‍👨🏼,men_wrestling_medium_dark_skin_tone_medium_light_skin_tone,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FC,men wrestling medium dark skin tone light,People & Body,person-sport,2131
👨🏾‍🫯‍👨🏽,men_wrestling_medium_dark_skin_tone_medium_skin_tone,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FD,men wrestling medium dark skin tone,People & Body,person-sport,2132
👨🏾‍🫯‍👨🏿,men_wrestling_medium_dark_skin_tone_dark_skin_tone,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FF,men wrestling medium dark skin tone,People & Body,person-sport,2133
👨🏿‍🫯‍👨🏻,men_wrestling_dark_skin_tone_light_skin_tone,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FB,men wrestling dark skin tone light,People & Body,person-sport,2134
👨🏿‍🫯‍👨🏼,men_wrestling_dark_skin_tone_medium_light_skin_tone,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FC,men wrestling dark skin tone medium light,People & Body,person-sport,2135
👨🏿‍🫯‍👨🏽,men_wrestling_dark_skin_tone_medium_skin_tone,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FD,men wrestling dark skin tone medium,People & Body,person-sport,2136
👨🏿‍🫯‍👨🏾,men_wrestling_dark_skin_tone_medium_dark_skin_tone,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FE,men wrestling dark skin tone medium,People & Body,person-sport,2137
👩🏻‍🫯‍👩🏼,women_wrestling_light_skin_tone_medium_light_skin_tone,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FC,women wrestling light skin tone medium,People & Body,person-sport,2138
👩🏻‍🫯‍👩🏽,women_wrestling_light_skin_tone_medium_skin_tone,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FD,women wrestling light skin tone medium,People & Body,person-sport,2139
👩🏻‍🫯‍👩🏾,women_wrestling_light_skin_tone_medium_dark_skin_tone,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FE,women wrestling light skin tone medium dark,People & Body,person-sport,2140
👩🏻‍🫯‍👩🏿,women_wrestling_light_skin_tone_dark_skin_tone,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FF,women wrestling light skin tone dark,People & Body,person-sport,2141
👩🏼‍🫯‍👩🏻,women_wrestling_medium_light_skin_tone_light_skin_tone,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FB,women wrestling medium light skin tone,People & Body,person-sport,2142
👩🏼‍🫯‍👩🏽,women_wrestling_medium_light_skin_tone_medium_skin_tone,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FD,women wrestling medium light skin tone,People & Body,person-sport,2143
👩🏼‍🫯‍👩🏾,women_wrestling_medium_light_skin_tone_medium_dark_skin_tone,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FE,women wrestling medium light skin tone dark,People & Body,person-sport,2144
👩🏼‍🫯‍👩🏿,women_wrestling_medium_light_skin_tone_dark_skin_tone,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FF,women wrestling medium light skin tone dark,People & Body,person-sport,2145
👩🏽‍🫯‍👩🏻,women_wrestling_medium_skin_tone_light_skin_tone,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FB,women wrestling medium skin tone light,People & Body,person-sport,2146
👩🏽‍🫯‍👩🏼,women_wrestling_medium_skin_tone_medium_light_skin_tone,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FC,women wrestling medium skin tone light,People & Body,person-sport,2147
👩🏽‍🫯‍👩🏾,women_wrestling_medium_skin_tone_medium_dark_skin_tone,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FE,women wrestling medium skin tone dark,People & Body,person-sport,2148
👩🏽‍🫯‍👩🏿,women_wrestling_medium_skin_tone_dark_skin_tone,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FF,women wrestling medium skin tone dark,People & Body,person-sport,2149
👩🏾‍🫯‍👩🏻,women_wrestling_medium_dark_skin_tone_light_skin_tone,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FB,women wrestling medium dark skin tone light,People & Body,person-sport,2150
